time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,n_packets,tcp_packets,packet_size,label
1737202358373,2025-01-18 13:12:38,10786.49,1959.44,17.75,7763402752,2940997632,62.1,1,0,60,Normal
1737202369782,2025-01-18 13:12:49,10805.81,1961.39,17.76,7763402752,2929389568,62.3,5,3,352,Normal
1737202381193,2025-01-18 13:13:01,10824.9,1963.46,17.78,7763402752,2918187008,62.4,1,0,60,Normal
1737202392598,2025-01-18 13:13:12,10843.75,1965.7,17.81,7763402752,2927058944,62.3,5,0,282,Normal
1737202404005,2025-01-18 13:13:24,10862.85,1967.75,17.83,7763402752,2933608448,62.2,6,5,453,Normal
1737202415404,2025-01-18 13:13:35,10881.5,1970.14,17.85,7763402752,2942611456,62.1,0,0,0,Normal
1737202426841,2025-01-18 13:13:46,10890.83,1981.06,17.87,7763402752,2913980416,62.5,9,0,938,Anomaly
1737202438390,2025-01-18 13:13:58,10898.46,1992.85,17.89,7763402752,2919452672,62.4,7,0,1979,Normal
1737202449790,2025-01-18 13:14:09,10908.56,2003.41,17.91,7763402752,2902097920,62.6,286,264,297373,Anomaly
1737202461259,2025-01-18 13:14:21,10919.46,2013.14,17.97,7763402752,2815225856,63.7,0,0,0,Normal
1737202472993,2025-01-18 13:14:32,10928.48,2025.11,18.0,7763402752,2948988928,62.0,2,0,102,Normal
1737202484537,2025-01-18 13:14:44,10941.5,2032.73,18.02,7763402752,2918764544,62.4,3,0,230,Normal
1737202495956,2025-01-18 13:14:55,10952.86,2042.0,18.05,7763402752,2909274112,62.5,0,0,0,Normal
1737202507383,2025-01-18 13:15:07,10971.21,2044.55,18.07,7763402752,2925367296,62.3,54,44,16388,Normal
1737202518824,2025-01-18 13:15:18,10984.27,2051.94,18.11,7763402752,2899664896,62.6,36,9,11499,Normal
1737202530456,2025-01-18 13:15:30,10999.31,2057.65,18.13,7763402752,2904432640,62.6,2,0,102,Normal
1737202541875,2025-01-18 13:15:41,11018.47,2059.53,18.16,7763402752,2909675520,62.5,1,0,60,Normal
1737202553299,2025-01-18 13:15:53,11037.74,2061.39,18.18,7763402752,2917101568,62.4,0,0,0,Normal
1737202564728,2025-01-18 13:16:04,11057.06,2063.19,18.2,7763402752,2917523456,62.4,5,4,402,Normal
1737202576166,2025-01-18 13:16:16,11072.62,2068.18,18.22,7763402752,2923220992,62.3,1,0,60,Normal
1737202587603,2025-01-18 13:16:27,11091.92,2070.01,18.23,7763402752,2901483520,62.6,2,0,102,Normal
1737202599037,2025-01-18 13:16:39,11111.12,2071.91,18.25,7763402752,2917564416,62.4,1,0,60,Normal
1737202610467,2025-01-18 13:16:50,11129.79,2074.3,18.27,7763402752,2948550656,62.0,2,0,102,Normal
1737202621893,2025-01-18 13:17:01,11148.95,2076.23,18.29,7763402752,2966642688,61.8,5,3,396,Normal
1737202633324,2025-01-18 13:17:13,11167.94,2078.24,18.3,7763402752,2962927616,61.8,5,0,264,Normal
1737202644759,2025-01-18 13:17:24,11187.12,2080.08,18.33,7763402752,2962952192,61.8,1,0,110,Normal
1737202656193,2025-01-18 13:17:36,11206.29,2082.01,18.34,7763402752,2955751424,61.9,3,0,162,Normal
1737202667628,2025-01-18 13:17:47,11225.06,2084.32,18.36,7763402752,2962821120,61.8,8,8,636,Normal
1737202679069,2025-01-18 13:17:59,11239.09,2090.39,18.37,7763402752,2912710656,62.5,47,38,11099,Anomaly
1737202690500,2025-01-18 13:18:10,11255.31,2094.51,18.4,7763402752,2825281536,63.6,641,617,743261,Anomaly
1737202701972,2025-01-18 13:18:21,11259.63,2110.83,18.48,7763402752,2823942144,63.6,2,0,102,Anomaly
1737202713440,2025-01-18 13:18:33,11273.64,2117.66,18.49,7763402752,2882949120,62.9,0,0,0,Normal
1737202724904,2025-01-18 13:18:44,11290.64,2121.25,18.52,7763402752,2886533120,62.8,2,0,102,Normal
1737202736363,2025-01-18 13:18:56,11308.42,2124.38,18.54,7763402752,2926751744,62.3,125,77,36893,Normal
1737202747795,2025-01-18 13:19:07,11321.29,2131.84,18.58,7763402752,2898055168,62.7,32,30,3903,Normal
1737202759296,2025-01-18 13:19:19,11333.5,2138.71,18.61,7763402752,2904231936,62.6,32,30,3950,Normal
1737202771129,2025-01-18 13:19:31,11344.72,2147.38,18.64,7763402752,2875351040,63.0,339,86,222949,Normal
1737202782688,2025-01-18 13:19:42,11353.75,2157.75,18.69,7763402752,2832162816,63.5,31,27,4591,Normal
1737202794290,2025-01-18 13:19:54,11365.68,2165.93,18.73,7763402752,2813382656,63.8,703,261,481147,Normal
1737202805920,2025-01-18 13:20:05,11367.11,2184.93,18.79,7763402752,2689990656,65.4,1107,169,1020305,Normal
1737202817615,2025-01-18 13:20:17,11368.62,2203.29,18.88,7763402752,2616332288,66.3,1111,150,1164221,Normal
1737202829326,2025-01-18 13:20:29,11370.84,2221.0,19.0,7763402752,2652667904,65.8,1274,72,1434485,Normal
1737202841005,2025-01-18 13:20:41,11375.78,2236.53,19.09,7763402752,2657083392,65.8,9,6,636,Normal
